"","verbatimScientificName","X.1","X.2","X.3","X.4","X.5","X.6"
"51","Trentepohlia jolithus (L.) Wallr. var. bovina (Flot.) Rabenh.","Trentepohlia jolithus var. bovina","","","","",""
"52","Trentepohlia aurea var. tomentosa Kutz.","Trentepohlia aurea var. tomentosa","Trentepohlia aurea (L.) Mart. var. tomentosa","Trentepohlia aurea var. tomentosa Kützing","Trentepohlia aurea (L.) Mart. var. tomentosa Kütz.","",""
"53","Ulothrix zonata var. rigia (Kutzing) Hansgirg","Ulothrix zonata var. rigia","","","","",""
"54","Ulothrix zonata var. inaequalis (Kutzing) Rabenhorst","Ulothrix zonata var. inaequalis","Ulothrix inaequalis Kütz.","","","",""
"55","Ulothrix moniliformis var. braunii (Kutzing) Hansgirg","Ulothrix moniliformis var. braunii","","","","",""
"56","Usnea motykana Bystrek & Wojciak, 1994","Usnea motykana","Ramalina motykana Bystrek","","","",""
"57","Usnea cavernosa subsp. sibirica (Rasanen) Mot.","Usnea cavernosa subsp. sibirica","","","","",""
"58","Asperula michelsoni V.Krecz.","Asperula michelsoni","","","","",""
"59","Teucrium podolicum","Teucrium podolicum","","","","",""
"60","Dasya apiculata (C. Agardh) J. Agardh","Dasya apiculata","","","","",""
"61","Ulva maeotica (Proshk.-Lavr.) P.Tsarenko in Burova & Al.","Ulva maeotica","","","","",""
"62","Bulbochaete subquadrata Mrozinska","Bulbochaete subquadrata","","","","",""
"63","Oedogonium plagiostomum Wittr. ex Hirn var. tanaiticum Y.V. Roll","Oedogonium plagiostomum var. tanaiticum","","","","",""
"64","Chaetomorpha zernovii Wononich","Chaetomorpha zernovii","Chaetomorpha zernovii Woronichin","","","",""
"65","Penium borgeanum Skuja","Penium borgeanum","","","","",""
"66","Lazarenkia kozlovii (Laz.) Boiko","Lazarenkia kozlovii","","","","",""
"67","Hericium coralloides (Fr.) Gray","Hericium coralloides","Hericium coralloides (Scop.) Pers.","","","",""
"68","Anaptychia mereschkowskii (Tomin) Kulakov","Anaptychia mereschkowskii","","","","",""
"69","Lecania ephedrae Elenk.","Lecania ephedrae","Lecania ephedrae Elenkin","","","",""
"70","Lecanora elenkinii Mereschk.","Lecanora elenkinii","Lecanora elenkinii Mereschk., 1913","","","",""
"71","Staurothele epigea Breuss et Etayo","Staurothele epigea","","","","",""
"72","Acutodesmus regularis (Svirenko) P.Tsarenko","Acutodesmus regularis","Acutodesmus regularis (D.O.Svirenko, 1924) P.M.Tsarenko, 2001","","","",""
"73","Oedogonium stictospermum (Skuja) Tiffany","Oedogonium stictospermum","","","","",""
"74","Oedogonium sodiroanum Lagerh. ex Hirn.","Oedogonium sodiroanum","Oedogonium sodiroanum Lagerh. ex Hirn","","","",""
"75","Endoclonium polymorphum Franke","Endoclonium polymorphum","","","","",""
"76","Cosmarium cyaneilacustre Lilitsk.","Cosmarium cyaneilacustre","","","","",""
"77","Cosmarium reticulatum Lilitsk.","Cosmarium reticulatum","","","","",""
